product_id,product_title,rating,total_reviews,price,top_reviews
itmb07d67f995271,"Apple iPhone 16 (Black, 128 GB)",4.6,"6,609","₹64,900",No reviews found
itm7c0281cd247be,"Apple iPhone 16 (White, 128 GB)",4.6,"6,609","₹64,900",Terrific — Such an great experience READ MORE || Super! — Satisfied READ MORE || Mind-blowing purchase — Super and cool photo READ MORE || Fabulous! — Nice ones READ MORE || Pretty good — Super 💫 READ MORE || Highly recommended — Great phone READ MORE
itm239d0b996d7f0,"Apple iPhone 17 Pro (Deep Blue, 256 GB)",4.7,56,"₹1,34,900",No reviews found
itm76fe37ca9ea8c,"Apple iPhone 17 Pro (Cosmic Orange, 256 GB)",4.7,56,"₹1,34,900","Mind-blowing purchase — Worthy READ MORE || Fabulous! — I used an iPhone 11 for almost five years, and upgrading to the iPhone 17 Pro feels like a completely new world. The performance jump, the camera quality, and the overall user experience are on another level. Everything feels faster, smoother, and truly premium. This upgrade has been worth every rupee. If you want a powerful, premium iPhone that can handle everything from daily use to professional-level photography, the iPhone 17 Pro is a very strong choice. READ MORE || Mind-blowing purchase — Great pick ❤️ READ MORE || Must buy! — One word speechless 🥰🥰🥰 READ MORE || Worth every penny — Great experience..... iphone is iphone READ MORE || Excellent — Nice Phone READ MORE"
